Occupation,Total
Architectural and engineering manager,154
Logistician,154
Operations research analyst,152
"Miscellaneous life, physical or social science technician",152
Miscellaneous health technologist or technician,152
"Brickmason, blockmason or stonemason",152
Aircraft mechanic or service technician,152
Editor,147
"Food processing worker",147
"Meeting, convention or event planner",146
Parts salesperson,142
Aircraft pilot or flight engineer,141
Sheet metal worker,140
"Lifeguard or other recreational or all other protective service worker",139
Public relations specialist,137
Barber,137
Occupational therapist,136
"Door-to-door sales worker, new or street vendor or related worker",135
Aerospace engineer,134
Laundry and dry-cleaning worker,134
Other healthcare practitioner or technical occupation,133
Electrical power-line installer or repairer,133
Printing press operator,133
Physician assistant,131
"Interviewer, except eligibility and loan",131
Radio and telecommunications equipment installer or repairer,131
Dietitian or nutritionist,128
Cost estimator,127
Training and development specialist,125
Information security analyst,125
Automotive body and related repairer,125
Phlebotomist,124
Environmental scientist or geoscientist,119
Broadcast and sound engineering technician or radio operator,119
"Financial clerk",119
Reservation and transportation ticket agent or travel clerk,119
Miscellaneous media and communication worker,118
Bill and account collector,116
"Hotel, motel or resort desk clerk",116
Loan interviewer or clerk,116
Drafter,113
Highway maintenance worker,113
Respiratory therapist,112
Order clerk,112
Water and wastewater treatment plant and system operator,110
Flight attendant,110
Computer control programmer or operator,108
Database administrator,106
Computer network architect,106
Insurance underwriter,105
Construction and building inspector,105
Biological scientist,104
Veterinarian,104
Statistician,101
Physical therapist assistant or aide,101
"Electrical, electronic or electromechanical assembler",101
"Information and record clerk",99
Refuse and recyclable material collector,99
Tax preparer,97
Chemist or materials scientist,97
Probation officer or correctional treatment specialist,97
Private detective or investigator,97
Counter and rental clerk,97
Pest control worker,96
Postal service clerk,96
"Court, municipal or license clerk",95
Fundraiser,93
"News analyst, reporter or correspondent",93
Gaming services worker,93
"Baggage porter, bellhop or concierge",92
"Medical, dental or ophthalmic laboratory technician",91
"Crushing, grinding, polishing, mixing or blending worker",90
"Library assistant, clerical",88
"Grader or sorter, agricultural product",88
Automotive and watercraft service attendant,88
Chemical engineer,87
"Tailor, dressmaker or sewer",86
Appraiser or assessors of real estate,84
First-line supervisors of police and detective,83
Parking lot attendant,83
Travel agent,82
Food batchmaker,82
Miscellaneous community and social service specialist,78
"First-line supervisors of protective service worker",78
Computer hardware engineer,77
"Postal service mail sorter, processor or processing machine operator",76
Public relation or fundraising manager,73
"Miscellaneous vehicle and mobile equipment mechanic, installer or repairer",73
"Chemical processing machine setter, operator or tender",73
"Director, religious activitie or education",72
Computer operator,72
"Judge, magistrate or other judicial worker",70
"Eligibility interviewer, government program",70
"Cutting, punching or press machine setter, operator or tender, metal and plastic",70
"Religious worker",69
Precision instrument and equipment repairer,69
"Mail clerk or mail machine operator, except postal service",68
"Weigher, measurer, checker or sampler, recordkeeping",66
Logging worker,66
Structural iron and steel worker,66
"Motor vehicle operator",66
"Cement mason, concrete finisher or terrazzo worker",65
Cabinetmaker or bench carpenter,65
Animal trainer,63
Crane and tower operator,63
"Model, demonstrator or product promoter",62
Technical writer,61
Chiropractor,61
Tour and travel guide,61
"Television, video or motion picture camera operator or editor",60
"Human resources assistant, except payroll and timekeeping",60
Cutting worker,60
Veterinary assistant or laboratory animal caretaker,59
Insulation worker,59
Announcer,58
Statistical assistant,58
Security and fire alarm systems installer,58
"Financial specialist",57
Word processor or typist,57
Chemical technician,56
Mining machine operator,56
Advertising and promotions manager,55
Tool and die maker,55
Helpers--production worker,54
"Tax examiner or collector or revenue agent",53
Surveying and mapping technician,53
Crossing guard,52
Millwright,52
Stationary engineer or boiler operator,52
Railroad conductor or yardmaster,52
"Compensation, benefit or job analysis specialist",51
Budget analyst,51
"First-line supervisors of farming, fishing or forestry worker",51
Home appliance repairer,51
Miscellaneous plant and system operator,51
"Entertainer or performer, sport or related worker",50
"Helper, construction trade",50
"Optician, dispensing",49
Pharmacy aide,49
Telemarketer,49
"Surveyor, cartographer or photogrammetrist",48
"Archivist, curator or museum technician",48
"Agent or business managers of artist, performer or athlete",47
Training and development manager,46
Other extraction worker,46
Small engine mechanic,45
"Molder or molding machine setter, operator or tender, metal and plastic",45
Ship and boat captain or operator,45
Materials engineer,44
First-line supervisors of correctional officer,44
"Grinding, lapping, polishing or buffing machine tool setter, operator or tender, metal and plastic",44
Optometrist,43
Transportation security screener,43
"Power plant operator, distributor or dispatcher",43
Air traffic controller or airfield operations specialist,43
"Transportation attendant, except flight attendant",43
First-line supervisors of fire fighting and prevention worker,42
Telephone operator,42
Locomotive engineer or operator,42
Transportation inspector,42
Medical transcriptionist,41
"Credit authorizer, checker or clerk",41
Fence erector,41
"Material moving worker",41
Actor,40
Hazardous materials removal worker,40
Jeweler or precious stone and metal worker,40
Miscellaneous social scientist or related worker,39
"Usher, lobby attendant or ticket taker",38
Glazier,38
Other transportation worker,38
Agricultural and food scientist,37
Fisher or related fishing worker,36
Economist,35
"Health diagnosing and treating practitioner",35
Sales engineer,35
Actuarie,33
Library technician,33
Nurse anesthetist,33
"Sawing machine setter, operator or tender, wood",33
"Office machine operator, except computer",32
Miscellaneous construction and related worker,32
Electronic home entertainment equipment installer or repairer,32
Locksmith or safe repairer,32
"Molder, shaper or caster, except metal and plastic",31
Postmaster or mail superintendent,30
Residential advisor,30
Upholsterer,30
Occupational therapy assistant or aide,29
Procurement clerk,29
"Derrick, rotary drill or service unit operator, oil, ga or mining",29
Credit analyst,28
"Coin, vending or amusement machine servicer or repairer",28
"Presser, textile, garment or related material",28
"Dredge, excavating or loading machine operator",28
Prepress technician or worker,27
"Extruding, forming, pressing or compacting machine setter, operator or tender",27
"Mortician, undertaker or funeral director",26
Biomedical engineer,25
Environmental engineer,25
Urban and regional planner,25
Structural metal fabricator or fitter,25
Compensation and benefits manager,24
Computer and information research scientist,24
Petroleum engineer,24
Boilermaker,24
"Paper goods machine setter, operator or tender",24
Machine feeder or offbearer,24
Biological technician,23
Dancer or choreographer,23
Plasterer or stucco mason,23
"Metal furnace operator, tender, pourer or caster",23
"Woodworker",23
Miscellaneous mathematical science occupation,22
New accounts clerk,22
"Paving, surfacing or tamping equipment operator",22
"Earth driller, except oil and ga",22
Control and valve installer or repairer,22
Financial examiner,21
Fire inspector,21
"Switchboard operator, including answering service",21
Forest and conservation worker,21
Automotive glass installer or repairer,21
"Maintenance worker, machinery",21
Conservation scientist or forester,20
Agricultural and food science technician,20
Geological and petroleum technician,20
Cargo and freight agent,20
Elevator installer or repairer,20
Legislator,19
Gaming manager,19
"Helpers--installation, maintenance or repair worker",19
Sailor or marine oiler,19
Agricultural inspector,18
Solar photovoltaic installer,18
Furniture finisher,18
Astronomer or physicist,17
"Meter reader, utilitie",17
"Electrical and electronics repairer, industrial and utility",17
"Food and tobacco roasting, baking or drying machine operator or tender",17
"Furnace, kiln, oven, drier or kettle operator or tender",17
"Buyer or purchasing agent, farm product",16
Radiation therapist,16
"Electric motor, power tool or related repairer",16
Pumping station operator,16
Natural sciences manager,15
Embalmer or funeral attendant,15
"Ambulance driver or attendant, except emergency medical technician",15
Audiologist,14
Print binding and finishing worker,14
Funeral service manager,13
Gaming cage worker,13
Avionics technician,13
"Extruding and drawing machine setter, operator or tender, metal and plastic",13
"Rolling machine setter, operator or tender, metal and plastic",13
"Plating and coating machine setter, operator or tender, metal and plastic",13
"Textile, apparel or furnishings worker",13
Photographic process worker or processing machine operator,13
Marine engineer or naval architect,12
"Communications equipment operator",12
Rigger,12
"Woodworking machine setter, operator or tender, except sawing",12
Atmospheric and space scientist,10
Podiatrist,10
Recreational therapist,10
Nurse midwive,10
Animal control worker,10
Animal breeder,10
"Layout worker, metal and plastic",10
"Textile winding, twisting or drawing out machine setter, operator or tender",10
Adhesive bonding machine operator or tender,10
"Electronic equipment installer or repairer, motor vehicle",9
Engine and other machine assembler,9
"Textile knitting and weaving machine setter, operator or tender",9
"Subway, streetcar or other rail transportation worker",9
Hoist and winch operator,9
"Mining and geological engineer, including mining safety engineer",8
Nuclear engineer,8
Septic tank servicer or sewer pipe cleaner,8
"Explosives worker, ordnance handling expert or blaster",8
"Roustabout, oil and ga",8
"Aircraft structure, surface, rigging or systems assembler",8
Etcher or engraver,8
Tire builder,8
Emergency management director,7
Judicial law clerk,7
"Food preparation and serving related worker",7
Proofreader or copy marker,7
Paperhanger,7
"Electrical and electronics installer or repairer, transportation equipment",7
Signal and track switch repairer,7
"Forging machine setter, operator or tender, metal and plastic",7
Shoe and leather worker or repairer,7
Agricultural engineer,6
Reinforcing iron and rebar worker,6
"Drilling and boring machine tool setter, operator or tender, metal 	and plastic",6
"Lathe and turning machine tool setter, operator or tender, metal and plastic",6
"Tank car, truck or ship loader",6
Transit and railroad police,5
Correspondence clerk,5
Manufactured building and mobile home installer,5
"Milling and planing machine setter, operator or tender, metal and plastic",5
"Model maker or patternmaker, metal and plastic",5
Shoe machine operator or tender,5
Ship engineer,5
Fish and game warden,4
Parking enforcement worker,4
Rail-track laying and maintenance equipment operator,4
"Heat treating equipment setter, operator or tender, metal and plastic",4
"Textile cutting machine setter, operator or tender",4
Mathematician,3
Nuclear technician,3
Brokerage clerk,3
Food cooking machine operator or tender,3
"Life scientist",2
Sociologist,2
Exercise physiologist,2
Helpers--extraction worker,2
Wind turbine service technician,2
Commercial diver,2
"Multiple machine tool setter, operator or tender, metal and plastic",2
Textile bleaching and dyeing machine operator or tender,2
"Cleaning, washing or metal pickling equipment operator or tender",2
Cooling and freezing equipment operator or tender,2
"Railroad brake, signal or switch operator",2
Conveyor operator or tender,2
Mine shuttle car operator,2
Social science research assistant,1
Motion picture projectionist,1
Pile-driver operator,1
"Roof bolter, mining",1
"Tool grinder, filer or sharpener",1
"Extruding and forming machine setter, operator or tender, synthetic and glass fiber",1
Survey researcher,1
"Media and communication equipment worker",1
Desktop publisher,1
Hunter or trapper,1
Fabric and apparel patternmaker,1
"Model maker or patternmaker, wood",1
Semiconductor processor,1
Bridge and lock tender,1
